P32234 	 FBgn0010339
A6MHQ4 	 FBgn0085442
Q9VVV9 	 FBgn0002945
Q9VPR4 	 FBgn0021874
Q27415 	 FBgn0016685
Q24418 	 FBgn0010399
Q04448 	 FBgn0010222
O61613 	 FBgn0020392
Q9VY99 	 FBgn0265726
Q9VJZ7 	 FBgn0022069
Q9VAU9 	 FBgn0026400
Q24423 	 FBgn0005771
P18105 	 FBgn0002948
P16320 	 FBgn0044029
O46106 	 FBgn0014366
Q9V411 	 FBgn0028473
Q9VEB3 	 FBgn0038585
Q04047 	 FBgn0004227
Q70PP2 	 FBgn0263968
Q0E9G3 	 FBgn0033224
O44081 	 FBgn0259937
P13217 	 FBgn0262738
P25724 	 FBgn0002962
Q27571 	 FBgn0011676
Q9VVR1 	 FBgn0013717
Q9V3G6 	 FBgn0260444
Q9VUX3 	 FBgn0044028
Q9VQ62 	 FBgn0031381
Q9VET0 	 FBgn0027109
Q9VNM1 	 FBgn0037408
Q9VBP9 	 FBgn0039348
Q9W0W6 	 FBgn0035092
Q9VU58 	 FBgn0040813
Q9VV28 	 FBgn0042201
Q9VQ66 	 FBgn0040717
Q9VXA0 	 FBgn0030800
Q9VUB4 	 FBgn0036397
P20241 	 FBgn0264975
Q9V6K3 	 FBgn0020391
P23654 	 FBgn0004108
Q24046 	 FBgn0015776
Q24048 	 FBgn0015777
Q94887 	 FBgn0013997
Q8MT06 	 FBgn0038473
Q9W590 	 FBgn0266284
Q9VMA0 	 FBgn0031848
P54351 	 FBgn0266464
Q9W4M9 	 FBgn0026079
Q8SX86 	 FBgn0035461
Q6NN40 	 FBgn0033457
P31368 	 FBgn0085424
Q9VT70 	 FBgn0036059
P32845 	 FBgn0004143
P16554 	 FBgn0002973
Q9V6B9 	 FBgn0033737
Q9VDV3 	 FBgn0038722
Q9VXE6 	 FBgn0061200
Q9VKJ3 	 FBgn0262647
Q9W1X4 	 FBgn0010660
O77460 	 FBgn0016687
Q9VV73 	 FBgn0036640
Q9V3H8 	 FBgn0028411
Q9NLA6 	 FBgn0011818
Q7JQF1 	 FBgn0024944
Q9VW26 	 FBgn0022774
A1Z9R4 	 FBgn0261613
Q9VR94 	 FBgn0031109
P54192 	 FBgn0011280
P54195 	 FBgn0011283
Q9V8Y2 	 FBgn0034468
Q8SY61 	 FBgn0034470
Q9V8Y9 	 FBgn0034475
Q8MKK0 	 FBgn0043535
Q8MKJ4 	 FBgn0043534
Q9V931 	 FBgn0034509
Q8MMF9 	 FBgn0043536
Q9V938 	 FBgn0050145
P54191 	 FBgn0011279
P54193 	 FBgn0011281
Q23970 	 FBgn0010403
P54194 	 FBgn0011282
Q9VAJ4 	 FBgn0039678
Q9VAI6 	 FBgn0039685
P22810 	 FBgn0004102
Q9VCZ3 	 FBgn0038980
Q4LBB9 	 FBgn0038063
Q4LBB6 	 FBgn0250910
P22270 	 FBgn0004514
P54361 	 FBgn0014184
P40807 	 FBgn0013307
P40808 	 FBgn0013308
P23803 	 FBgn0002985
Q9V6X7 	 FBgn0033901
Q9W589 	 FBgn0027791
Q9V3I8 	 FBgn0027864
P27716 	 FBgn0004646
O76460 	 FBgn0002989
Q9U6B8 	 FBgn0041585
Q6NP60 	 FBgn0037153
Q9NJB5 	 FBgn0028996
P39768 	 FBgn0003002
Q95RW8 	 FBgn0025360
Q8I7Q0 	 FBgn0025876
Q8I7P9 	 FBgn0025875
Q9W5G6 	 FBgn0029521
O46077 	 FBgn0023523
Q9W3I5 	 FBgn0030016
Q9W2U9 	 FBgn0030204
Q9VYZ1 	 FBgn0030298
Q9VXL0 	 FBgn0030715
Q9I816 	 FBgn0041626
Q8IRZ5 	 FBgn0062565
P81909 	 FBgn0026398
P81910 	 FBgn0026397
P81911 	 FBgn0026396
P81912 	 FBgn0026395
P81913 	 FBgn0026394
Q9VLE5 	 FBgn0032096
P81914 	 FBgn0026392
P81915 	 FBgn0026391
P81916 	 FBgn0026390
Q9V3Q2 	 FBgn0028946
Q9V9I2 	 FBgn0033041
Q9V9I4 	 FBgn0033043
P81917 	 FBgn0026389
P81918 	 FBgn0026393
Q9V568 	 FBgn0033404
Q9V589 	 FBgn0033422
P81919 	 FBgn0026388
Q9V3N2 	 Q9V3N2missing
P81921 	 FBgn0026386
P81922 	 FBgn0026385
Q9V6A9 	 FBgn0033727
Q9V6H2 	 FBgn0028963
Q9V8Y7 	 FBgn0034473
P81923 	 FBgn0026384
Q9W1P8 	 FBgn0034865
Q9W1P7 	 FBgn0034866
Q9VZW8 	 FBgn0035382
P82982 	 FBgn0041625
P82983 	 FBgn0041624
P82984 	 FBgn0041623
Q9VT08 	 FBgn0036009
Q9VT20 	 FBgn0036019
Q9VT90 	 FBgn0036078
Q9VT92 	 FBgn0036080
Q9VU27 	 FBgn0041622
P82985 	 P82985missing
Q9VUK5 	 FBgn0036474
Q9VVF3 	 FBgn0036709
P82986 	 FBgn0041621
Q9VNB3 	 FBgn0037322
Q9VNK9 	 FBgn0037399
Q9VHS4 	 FBgn0037576
Q9VHQ7 	 FBgn0037590
Q9VHQ6 	 FBgn0037591
Q9VHQ2 	 FBgn0037594
P81924 	 FBgn0026399
Q9VHE6 	 FBgn0037685
Q9VFN2 	 FBgn0038203
Q9VDM1 	 FBgn0038798
Q9VCS9 	 FBgn0039033
Q9VCS8 	 FBgn0039034
Q9VAZ3 	 FBgn0039551
Q9VAW0 	 FBgn0039582
Q9VSR3 	 FBgn0264307
O16810 	 FBgn0022772
Q24168 	 FBgn0015270
Q24169 	 FBgn0015271
Q9Y1B2 	 FBgn0023180
Q9VNB5 	 FBgn0037324
Q9VCA2 	 FBgn0019952
Q95R48 	 FBgn0086365
Q24434 	 FBgn0003009
Q94526 	 FBgn0017561
Q9VP04 	 FBgn0037110
Q8IN94 	 FBgn0261885
Q23971 	 FBgn0010401
Q9VMP9 	 FBgn0031717
Q9W040 	 FBgn0035317
P25158 	 FBgn0003015
Q27421 	 FBgn0003016
Q24319 	 FBgn0014868
P20240 	 FBgn0266420
Q6AWJ9 	 FBgn0004839
P56672 	 FBgn0015524
P10383 	 FBgn0003023
P51521 	 FBgn0003028
Q9XY35 	 FBgn0011227
Q7KVA1 	 FBgn0015360
Q9VHN9 	 FBgn0086679
O61443 	 FBgn0024846
P83100 	 FBgn0267339
P21187 	 FBgn0265297
Q7KNF2 	 FBgn0005648
Q9VXP4 	 FBgn0025809
Q9W0Y6 	 FBgn0060296
Q9V5E1 	 FBgn0283510
Q9W1L5 	 FBgn0262728
Q9VTM0 	 FBgn0036192
P91943 	 FBgn0085432
Q8IMA8 	 Q8IMA8missing
Q9W2H9 	 FBgn0034617
Q9VVD9 	 FBgn0036695
P35500 	 FBgn0264255
O46043 	 FBgn0023216
P35875 	 FBgn0010247
Q9VT04 	 FBgn0036007
Q9NB04 	 FBgn0067864
A1ZAU8 	 FBgn0263197
P31264 	 FBgn0051481
Q9VJS7 	 FBgn0264810
P26017 	 FBgn0003042
O76454 	 FBgn0024841
Q9VTL1 	 FBgn0036184
Q24459 	 FBgn0003044
Q27869 	 FBgn0086768
P17917 	 FBgn0005655
P14484 	 FBgn0003046
Q9V785 	 FBgn0033988
P18490 	 FBgn0003048
Q9VFI9 	 FBgn0038237
Q9VJ79 	 FBgn0085370
O96690 	 FBgn0023178
Q9W4Y2 	 FBgn0260753
P54399 	 FBgn0014002
P91622 	 FBgn0017558
Q9W0V1 	 FBgn0020386
P31369 	 FBgn0004394
Q9VK71 	 Q9VK71missing
Q9NIV1 	 FBgn0037327
P48612 	 FBgn0011207
P52295 	 FBgn0267727
Q86BE9 	 FBgn0053198
O61345 	 FBgn0015527
P41073 	 FBgn0004401
P20007 	 FBgn0003067
P07663 	 FBgn0003068
Q9VPT5 	 FBgn0031282
Q9VWB0 	 FBgn0052226
P52034 	 FBgn0003071
O46084 	 FBgn0023517
Q6WV19 	 FBgn0031530
Q9Y117 	 FBgn0027558
Q8IA42 	 FBgn0051956
Q6WV17 	 FBgn0031681
Q6WV16 	 FBgn0035375
Q9VUT6 	 FBgn0036529
Q8MVS5 	 FBgn0001970
Q7K0P4 	 FBgn0033088
Q9VLR9 	 FBgn0031997
P41572 	 FBgn0004654
P52029 	 FBgn0003074
Q01604 	 FBgn0250906
Q9VUY9 	 FBgn0003076
Q95T64 	 FBgn0035975
Q8INK6 	 FBgn0037906
Q9GNK5 	 FBgn0035976
Q9GN97 	 FBgn0260458
Q9VXN9 	 FBgn0030695
Q8SXQ7 	 FBgn0035977
Q9VYX7 	 FBgn0030310
Q70PY2 	 FBgn0043578
Q9VV96 	 FBgn0043577
Q9V3B7 	 FBgn0043576
Q9V3B7 	 FBgn0033327
Q9V4X2 	 FBgn0043575
Q9VS97 	 FBgn0035806
P11346 	 FBgn0003079
Q9VJ07 	 FBgn0032749
Q9VWR5 	 FBgn0004959
O01404 	 FBgn0283509
Q8ST83 	 FBgn0002521
P39769 	 FBgn0004861
Q9V9A8 	 FBgn0028579
Q27934 	 FBgn0013725
Q9V637 	 FBgn0033669
Q9XYZ5 	 FBgn0260962
Q9V7S5 	 FBgn0024315
M9MSG8 	 FBgn0264953
P26023 	 FBgn0003086
Q24118 	 FBgn0010309
Q9V7W1 	 FBgn0265174
Q9VPW8 	 FBgn0016926
Q86BJ3 	 FBgn0003089
Q9VD51 	 FBgn0266581
Q9VPC0 	 FBgn0016696
Q9VKM1 	 FBgn0004872
A1Z6W3 	 FBgn0003090
P12370 	 FBgn0000273
P16911 	 FBgn0000274
P16912 	 FBgn0000489
P16905 	 FBgn0259243
P81900 	 FBgn0022382
P05130 	 FBgn0003091
P13678 	 FBgn0003093
P83099 	 FBgn0259680
Q03042 	 FBgn0000442
A1Z7T0 	 FBgn0020621
P25455 	 FBgn0004611
P18459 	 FBgn0005626
Q9V4A7 	 FBgn0025740
O77237 	 FBgn0025574
Q86BN8 	 FBgn0039111
Q05652 	 FBgn0010441
P42570 	 FBgn0003114
Q8IQ56 	 FBgn0044419
Q7KRR5 	 FBgn0033050
P52168 	 FBgn0003117
P51022 	 FBgn0003118
P51023 	 P51023missing
P40797 	 FBgn0013726
Q9VU65 	 FBgn0036354
Q9VLT5 	 FBgn0011230
Q9W123 	 FBgn0035047
P52304 	 FBgn0003124
Q9VH07 	 FBgn0040078
Q9VWV9 	 FBgn0004957
Q94920 	 FBgn0004363
P23757 	 FBgn0003129
P23758 	 FBgn0003130
Q05547 	 FBgn0003132
P12982 	 FBgn0004103
P48461 	 FBgn0003134
P36179 	 FBgn0260439
Q27889 	 FBgn0011826
O76932 	 FBgn0023177
Q9VDE5 	 FBgn0010770
Q9VL84 	 FBgn0065109
Q9VAJ3 	 FBgn0039679
Q86LG1 	 FBgn0030795
Q9U616 	 FBgn0027945
Q868Z9 	 FBgn0003137
Q9V521 	 FBgn0033367
Q9W1V6 	 FBgn0261363
Q9W2U4 	 FBgn0030208
Q9W3C7 	 FBgn0030057
Q9VKH6 	 FBgn0032358
Q27884 	 FBgn0003139
P11612 	 FBgn0003140
P48611 	 FBgn0003141
Q9I7F7 	 FBgn0013955
Q27601 	 FBgn0004901
Q9VLJ0 	 FBgn0032059
P06601 	 FBgn0003145
Q9V579 	 FBgn0033413
P82890 	 FBgn0040077
P82891 	 FBgn0040076
P35415 	 FBgn0003149
P35416 	 P35416missing
P82295 	 FBgn0026189
P29617 	 FBgn0004595
Q9XZJ4 	 FBgn0263121
P40301 	 FBgn0086134
P18053 	 FBgn0261394
Q9VA12 	 FBgn0261395
P22769 	 FBgn0004066
Q24178 	 FBgn0265606
Q27575 	 FBgn0017556
Q95083 	 FBgn0016697
P12881 	 FBgn0250843
Q9V5C6 	 FBgn0023175
Q9XYN7 	 FBgn0026380
Q9VQE5 	 FBgn0031443
P40304 	 FBgn0002284
Q9VNA5 	 FBgn0250746
Q9VFK6 	 FBgn0011474
P35820 	 FBgn0005624
Q9VQY9 	 FBgn0261976
Q9VWU1 	 FBgn0030926
Q9VDQ7 	 FBgn0243511
O02194 	 FBgn0019947
Q9VD28 	 FBgn0038948
Q7M3K2 	 FBgn0013311
P18502 	 FBgn0003892
P35992 	 FBgn0004370
Q9W0G1 	 FBgn0267487
P16620 	 FBgn0014007
P35832 	 FBgn0004369
O18400 	 FBgn0020912
P48596 	 FBgn0003162
Q8T6B9 	 FBgn0028577
O96553 	 FBgn0020385
P25822 	 FBgn0003165
Q01603 	 FBgn0004577
Q9VZZ4 	 FBgn0011828
Q9VEG6 	 FBgn0261987
Q9V9W8 	 FBgn0043900
O62619 	 FBgn0267385
P82804 	 FBgn0034918
Q9W0T5 	 FBgn0035113
Q9VVH3 	 FBgn0036726
Q23989 	 FBgn0003187
B5A5T4 	 FBgn0260499
P05990 	 FBgn0003189
P08645 	 FBgn0004636
P16423 	 FBgn0016699
P16424 	 FBgn0044825
P16425 	 FBgn0044824
P25228 	 FBgn0005586
Q9VKB9 	 FBgn0027505
Q9VXY2 	 FBgn0030613
O18334 	 FBgn0015797
Q9VP48 	 FBgn0086913
P40792 	 FBgn0010333
P48554 	 FBgn0014011
P40809 	 FBgn0045843
O18640 	 FBgn0020618
Q9W252 	 FBgn0034728
P48555 	 FBgn0015286
Q9VZ23 	 FBgn0020255
Q9GQN0 	 FBgn0053180
Q4Z8K6 	 FBgn0262114
Q9VIW3 	 FBgn0003346
Q9VUN3 	 FBgn0036497
Q07152 	 FBgn0003204
P04388 	 FBgn0003206
P08646 	 FBgn0003205
P48423 	 FBgn0004390
Q9VZU2 	 FBgn0024194
Q9VM71 	 FBgn0031868
Q02926 	 FBgn0004903
Q9VPH8 	 FBgn0036973
Q24472 	 FBgn0015799
Q02427 	 FBgn0260944
Q9VVE5 	 FBgn0260943
P25171 	 FBgn0002638
Q09103 	 FBgn0261549
P43125 	 FBgn0003218
Q9U9P7 	 FBgn0027872
P40421 	 FBgn0265959
P25123 	 FBgn0004244
Q9VFP2 	 FBgn0264493
Q9VF30 	 FBgn0003227
P14199 	 FBgn0003231
Q94915 	 FBgn0016715
Q94913 	 FBgn0015801
Q94527 	 FBgn0014018
Q9V8W3 	 FBgn0026378
Q9V3K3 	 FBgn0040075
Q9V7U0 	 FBgn0034157
Q9VMD6 	 FBgn0031814
Q24573 	 FBgn0004795
Q9V496 	 FBgn0087002
P53034 	 FBgn0260985
Q9W4E2 	 FBgn0266098
Q94547 	 FBgn0017550
P08099 	 FBgn0003248
P04950 	 FBgn0003249
P08255 	 FBgn0003250
P91657 	 FBgn0014019
O01668 	 FBgn0019940
Q9VND8 	 FBgn0041191
P20350 	 FBgn0004635
P48148 	 FBgn0014020
Q76NQ1 	 FBgn0041723
Q9VTU3 	 FBgn0036257
Q9VDS5 	 FBgn0038747
Q9V9S7 	 FBgn0039883
Q9VX32 	 FBgn0026375
Q24192 	 FBgn0014380
Q9W358 	 FBgn0028292
Q9V3C5 	 FBgn0028500
Q86BY9 	 FBgn0250850
Q9VS46 	 FBgn0035762
Q9VL31 	 FBgn0032189
P40417 	 FBgn0003256
Q01637 	 FBgn0003257
Q9VDG2 	 FBgn0026056
P19109 	 FBgn0003261
Q9VI93 	 FBgn0267337
Q7YZH1 	 FBgn0035106
Q9W4D2 	 FBgn0014024
P48591 	 FBgn0011703
P48592 	 FBgn0011704
P10181 	 FBgn0003267
Q9W5E1 	 FBgn0025638
Q9NHX0 	 FBgn0040291
P48604 	 FBgn0014877
Q9VVE2 	 FBgn0036697
Q07327 	 FBgn0004574
Q24488 	 FBgn0010407
O44252 	 FBgn0011705
Q24492 	 FBgn0010173
Q7KSD8 	 FBgn0053520
Q9VEA5 	 Q9VEA5missing
Q9VC49 	 FBgn0039218
Q9VJE4 	 FBgn0032634
Q94517 	 FBgn0015805
P91875 	 FBgn0019938
P20028 	 FBgn0003278
P36958 	 FBgn0004855
Q24320 	 FBgn0003275
P08266 	 FBgn0262955
P04052 	 FBgn0003277
P25167 	 FBgn0004463
O16797 	 FBgn0020910
P09180 	 FBgn0003279
Q9W5R8 	 FBgn0064225
P32100 	 FBgn0005593
P46223 	 FBgn0014026
Q9V3G1 	 FBgn0261602
P50882 	 FBgn0015756
O61231 	 FBgn0024733
Q9VTP4 	 FBgn0036213
P46222 	 FBgn0013325
P41126 	 FBgn0011272
Q9VNE9 	 FBgn0037351
P55841 	 FBgn0017579
O17445 	 FBgn0028697
Q9W3W8 	 FBgn0029897
Q9VS34 	 FBgn0035753
P41093 	 FBgn0010409
P36241 	 FBgn0002607
P50887 	 FBgn0015288
P48159 	 FBgn0010078
Q9VJY6 	 FBgn0032518
Q9VGN9 	 FBgn0037899
P41092 	 FBgn0261606
Q9VZS5 	 FBgn0035422
Q24154 	 FBgn0016726
Q9V597 	 FBgn0025286
P04359 	 FBgn0002626
P49630 	 FBgn0002579
Q9VXX8 	 FBgn0030616
Q9VMU4 	 FBgn0261608
Q9W1U6 	 FBgn0034822
Q9W5N2 	 FBgn0040007
O16130 	 FBgn0023170
P18101 	 FBgn0003941
P19889 	 FBgn0000100
P08570 	 FBgn0002593
P05389 	 FBgn0003274
Q9V3P6 	 FBgn0028692
P25161 	 FBgn0261396
Q7KLV9 	 FBgn0028689
Q9V3G7 	 FBgn0028688
P26270 	 FBgn0002787
P55035 	 FBgn0015283
Q9V3H2 	 FBgn0028694
Q7K2G1 	 FBgn0033886
Q2MGL3 	 FBgn0066304
Q24475 	 FBgn0011706
P31009 	 FBgn0004867
Q06559 	 FBgn0002622
P55830 	 FBgn0017545
P41042 	 FBgn0011284
Q24186 	 FBgn0002590
Q9VFE4 	 FBgn0038277
P29327 	 FBgn0261592
Q9VA91 	 FBgn0039757
Q8MLY8 	 FBgn0039713
P55935 	 FBgn0010408
Q9VB14 	 FBgn0027494
Q9VWG3 	 FBgn0261593
Q0E9B6 	 FBgn0033699
P80455 	 FBgn0260441
Q03334 	 FBgn0010265
P14130 	 FBgn0004403
P14130 	 FBgn0004404
P48149 	 FBgn0010198
Q7KR04 	 FBgn0033555
Q9W237 	 FBgn0034743
P17704 	 FBgn0005533
P41094 	 FBgn0010411
P39018 	 FBgn0010412
Q7KS38 	 FBgn0039129
P55828 	 FBgn0019936
O76927 	 FBgn0015521
Q8T3U2 	 FBgn0033912
P48588 	 FBgn0086472
P13008 	 FBgn0261597
P15357 	 FBgn0003942
Q9W334 	 FBgn0030136
Q9VH69 	 FBgn0261599
P48601 	 FBgn0015282
O18413 	 FBgn0020369
P27864 	 FBgn0004584
Q24491 	 FBgn0011305
Q08180 	 FBgn0003285
Q9VTK2 	 FBgn0003292
P56175 	 FBgn0020909
Q9W261 	 FBgn0034722
Q8SY41 	 FBgn0266019
Q8T045 	 FBgn0086253
P22814 	 FBgn0003300
P32870 	 FBgn0003301
P50445 	 FBgn0003302
Q9W2Q1 	 FBgn0020617
P10351 	 FBgn0003308
P25931 	 FBgn0004842
Q24498 	 FBgn0011286
P42519 	 FBgn0003310
Q9VWQ2 	 FBgn0283473
Q9W0I6 	 FBgn0283500
Q9VGH1 	 FBgn0003312
O97143 	 FBgn0026371
P21750 	 FBgn0003313
P39770 	 FBgn0261648
P91931 	 FBgn0019932
P40320 	 FBgn0005278
Q9NHD5 	 FBgn0024188
Q9VXB3 	 FBgn0030788
Q960T2 	 FBgn0013334
Q04164 	 FBgn0002306
Q9I7W5 	 FBgn0029755
Q9VAC8 	 FBgn0039731
Q9VQ93 	 FBgn0267378
Q9VCR6 	 FBgn0053193
Q05319 	 FBgn0003319
Q9U1H9 	 FBgn0003321
P10084 	 FBgn0004170
P21520 	 FBgn0003326
Q9VLC0 	 FBgn0011232
O44386 	 FBgn0003328
Q9VB08 	 FBgn0003330
C0HJH4 	 FBgn0266491
C0HJH3 	 FBgn0266492
Q9VHA0 	 FBgn0003334
Q9VRP5 	 FBgn0260936
P09077 	 FBgn0003339
Q9V4P1 	 FBgn0261385
Q7KRY7 	 FBgn0263289
Q94522 	 FBgn0004888
O18404 	 FBgn0021765
P54631 	 FBgn0005590
Q9VTH4 	 FBgn0041094
P30052 	 FBgn0003345
P49415 	 FBgn0010415
Q94523 	 FBgn0261439
Q8SZ16 	 FBgn0038437
P21914 	 FBgn0014028
Q9VCI5 	 FBgn0039112
O97394 	 FBgn0021764
Q9VSL3 	 FBgn0086348
Q9VVG4 	 FBgn0266669
Q9VQQ9 	 FBgn0266670
Q9V8K2 	 FBgn0266671
Q9VNH6 	 FBgn0266672
Q9XTM1 	 FBgn0266673
Q9VDE6 	 FBgn0266674
Q9VWE9 	 FBgn0031049
Q9V3X4 	 FBgn0040336
O18373 	 FBgn0261270
Q7Z2C4 	 FBgn0030350
Q8INK9 	 FBgn0267376
Q9VM46 	 FBgn0266666
Q24322 	 FBgn0011259
Q24323 	 FBgn0011260
Q9N658 	 FBgn0002573
P42207 	 FBgn0011710
P54359 	 FBgn0014029
P18168 	 FBgn0004197
P51905 	 FBgn0010414
Q26365 	 FBgn0003360
Q9W1K5 	 FBgn0034897
P53997 	 FBgn0014879
Q5LJZ2 	 FBgn0040022
Q9VYD1 	 FBgn0030486
P13368 	 FBgn0003366
Q9V3L1 	 FBgn0020251
Q9VK33 	 FBgn0032475
Q9VVR6 	 FBgn0036804
P18431 	 FBgn0003371
O02373 	 FBgn0261445
P02840 	 FBgn0003373
Q00725 	 FBgn0003374
P07701 	 FBgn0003375
P02841 	 FBgn0003377
P02842 	 FBgn0003378
P08510 	 FBgn0003380
Q9NFP5 	 FBgn0035772
P17970 	 FBgn0262593
P33085 	 FBgn0085387
P17971 	 FBgn0005564
Q24145 	 FBgn0015295
P17972 	 FBgn0003386
Q9VUF8 	 FBgn0003388
Q8MSV2 	 FBgn0052423
Q9W3W5 	 FBgn0003390
Q24298 	 FBgn0003391
P27619 	 FBgn0003392
A1Z9P3 	 FBgn0085408
Q9W1I9 	 FBgn0003401
Q9VYS5 	 FBgn0030352
Q9VIQ9 	 FBgn0263873
Q9VFB7 	 FBgn0038303
P91621 	 FBgn0085447
P91620 	 P91620missing
Q6IGX9 	 FBgn0053527
Q8IN35 	 FBgn0038880
P05709 	 FBgn0004666
Q24167 	 FBgn0266411
Q9V719 	 FBgn0033935
P21461 	 FBgn0003410
Q8T3Y0 	 FBgn0259794
Q9Y103 	 FBgn0024191
Q95SP2 	 FBgn0039875
Q9VK34 	 FBgn0024291
Q9I7I7 	 FBgn0038788
Q8IRR5 	 FBgn0029783
Q9VH08 	 FBgn0037802
Q9VAQ1 	 FBgn0039631
Q9VLU6 	 FBgn0031971
Q9VZ09 	 FBgn0003411
Q7KVW5 	 FBgn0029761
Q7KTX8 	 FBgn0003415
Q9VGY6 	 FBgn0262717
Q9GPJ1 	 Q9GPJ1missing
Q02637 	 FBgn0005638
Q9VAN6 	 FBgn0041186
Q8INM3 	 FBgn0037810
Q04499 	 FBgn0003423
Q24179 	 FBgn0264978
P24014 	 FBgn0264089
A1ZB86 	 FBgn0261477
Q95T19 	 FBgn0051133
Q8MR31 	 FBgn0024728
Q9VEI3 	 FBgn0038524
Q9V3U9 	 FBgn0029161
Q03720 	 FBgn0003429
Q8IPH9 	 FBgn0264087
P22807 	 FBgn0002941
P32030 	 FBgn0003430
P32031 	 FBgn0004567
Q95UN8 	 FBgn0030018
Q9I7U4 	 FBgn0086906
Q9VAQ7 	 FBgn0039626
Q7JVE7 	 FBgn0025469
Q9VN41 	 FBgn0037263
Q05856 	 FBgn0262601
Q9VU02 	 FBgn0261933
Q9VI10 	 FBgn0261789
O44437 	 FBgn0023167
Q9VLV5 	 FBgn0261790
Q24297 	 FBgn0000426
Q23972 	 FBgn0016070
Q9VV74 	 FBgn0036641
P91682 	 FBgn0003444
Q9VS60 	 FBgn0052380
Q24524 	 FBgn0003447
P08044 	 FBgn0003448
P36975 	 FBgn0011288
Q9VQF9 	 FBgn0031455
P43332 	 FBgn0003449
P05049 	 FBgn0003450
Q9VDD3 	 FBgn0260004
E1JI63 	 FBgn0035815
A8JUV0 	 FBgn0265630
Q9VIQ0 	 FBgn0032840
P17133 	 FBgn0016978
Q9VE17 	 FBgn0261792
Q9VXE0 	 FBgn0261791
B7Z0I7 	 FBgn0259199
Q27350 	 FBgn0003460
Q9VQS7 	 FBgn0004892
P61851 	 FBgn0003462
Q00637 	 FBgn0010213
Q24025 	 FBgn0003463
P27398 	 FBgn0003464
P26675 	 FBgn0001965
Q9VFK3 	 FBgn0038225
P40656 	 FBgn0005612
P40657 	 FBgn0005613
Q9VL52 	 FBgn0051755
P05623 	 FBgn0003034
Q9VN45 	 FBgn0037265
Q8I0P1 	 FBgn0039141
Q9VAL0 	 FBgn0040623
Q9VCA9 	 FBgn0039172
Q9VYY2 	 FBgn0030306
Q9V3V7 	 FBgn0087021
Q9VNE7 	 FBgn0044823
P43248 	 FBgn0015546
Q8SX83 	 FBgn0016977
Q01083 	 FBgn0005672
Q9GQQ0 	 FBgn0086676
Q9U1K1 	 FBgn0003475
Q9V7Y2 	 FBgn0010591
Q27297 	 FBgn0003479
Q9VF26 	 FBgn0003483
Q9VRM7 	 FBgn0003486
Q8SWR3 	 FBgn0029768
Q8MQW8 	 FBgn0085443
Q9VKY8 	 FBgn0032224
Q9TVQ5 	 FBgn0028683
Q9V460 	 FBgn0040273
Q9W420 	 FBgn0028982
P48607 	 FBgn0003495
Q08473 	 FBgn0263396
P40423 	 FBgn0003514
Q9VDZ3 	 FBgn0010768
Q9XZL8 	 FBgn0086370
Q9VF87 	 FBgn0038320
Q9U1H8 	 FBgn0029121
Q9V9J3 	 FBgn0264959
P00528 	 FBgn0262733
P52172 	 FBgn0003507
Q9VSC1 	 FBgn0035827
P49963 	 FBgn0015298
Q9VSS2 	 FBgn0035947
P07666 	 FBgn0003510
P07665 	 FBgn0003511
P07664 	 FBgn0003512
Q9VLR5 	 FBgn0015299
Q6NN85 	 FBgn0029157
Q24536 	 FBgn0015300
Q05344 	 FBgn0010278
P45843 	 FBgn0003515
P38979 	 FBgn0003517
Q9V5N8 	 FBgn0024836
Q9VX39 	 FBgn0030850
Q24151 	 FBgn0016917
P25159 	 FBgn0003520
P40798 	 FBgn0001978
Q9NIV2 	 FBgn0044817
Q7KV12 	 FBgn0053236
Q7KV13 	 FBgn0053237
Q7KV14 	 FBgn0053238
Q7KV15 	 FBgn0053239
Q7KV12 	 FBgn0053240
Q7KV15 	 FBgn0053241
Q7KV19 	 FBgn0053243
Q7KV12 	 FBgn0053244
Q7KV12 	 FBgn0053245
Q7KV22 	 FBgn0053246
Q7KV23 	 FBgn0053247
P20483 	 FBgn0003525
P92189 	 FBgn0003527
P83094 	 FBgn0045073
P83098 	 FBgn0046692
Q8IGJ0 	 FBgn0086784
Q24211 	 FBgn0016976
Q24212 	 FBgn0016975
Q9VUY8 	 FBgn0036571
Q9W2E1 	 FBgn0050263
O44783 	 FBgn0014388
Q9V877 	 FBgn0003545
Q9I7H9 	 FBgn0265189
Q9Y0H4 	 FBgn0003557
P25991 	 FBgn0003559
Q7K0S9 	 FBgn0033782
P28159 	 FBgn0004837
P08970 	 FBgn0003567
Q9VEX0 	 FBgn0040271
Q9VL32 	 FBgn0028675
Q9VEK6 	 FBgn0038504
Q9U4F3 	 FBgn0029117
O18405 	 FBgn0019925
Q9VDS6 	 FBgn0038746
P22293 	 FBgn0003575
Q9VW51 	 FBgn0014037
Q9VTE2 	 FBgn0025355
Q9VW97 	 FBgn0260397
P20193 	 FBgn0003598
P45975 	 FBgn0263755
P05205 	 FBgn0003607
P12297 	 FBgn0003638
P25172 	 FBgn0265623
Q9NJG9 	 FBgn0020887
P16375 	 FBgn0003651
P16376 	 P16376missing
P42787 	 FBgn0004648
Q24246 	 FBgn0003654
P40688 	 FBgn0003655
Q8SXT3 	 FBgn0034262
Q9VXH9 	 FBgn0030739
Q9VJ26 	 FBgn0032731
Q9U969 	 FBgn0003656
P19339 	 FBgn0264270
